"統一編號","商業名稱","商業地址","登記狀態"
"02413885","沐鑫商行","新北市板橋區長江路2段41號","核准設立"
"06833830","大豐水族設計坊","高雄市三民區寶興里大昌２路１８９號","核准設立"
"06840380","天祺愛玩犬用品","高雄市新興區浩然里新田路６６號","核准設立"
"07984906","家樂愛犬用品社","高雄市前鎮區瑞文里瑞北路１５２號","核准設立"
"07985004","迷妳愛犬用品社","高雄市苓雅區晴朗里復興２路２２４號１樓","歇業／撤銷"
"09120603","極速重車行","臺南市南區府南里大成路2段123號1樓","停業"
"09225521","醬子犬屋","彰化縣彰化市東興里東民街１９號１樓","歇業／撤銷"
"09298621","可兒家族寵物精品行","臺中市南屯區文山里文山七街２２３號１樓","核准設立"
"09315543","優格寵物生活館","彰化縣員林市三和里成功東路１３５號１樓","歇業／撤銷"
"09512967","觀山水水族寵物量販店","嘉義市西區垂楊里新民路８０４號一樓","歇業／撤銷"
"09529812","凱蒂愛犬屋","臺南市七股區樹林里樹林7之6號1樓","核准設立"
"09584188","勇士寵物生活館","臺南市西港區西港里中山路178號1樓","核准設立"
"09621830","寵物閣商行","新北市新店區建國路98號1樓","歇業／撤銷"
"09649871","吉旺寵物精品坊","桃園市中壢區光明里明德路２７２號１樓","核准設立"
"09698112","溫度系列商行","新北市新店區永華街７號１樓","歇業／撤銷"
"09718356","麗園寵物美容坊","桃園市龜山區大湖里文化三路９８號１樓","歇業／撤銷"
"09740316","幸福狗狗美容精品坊","新北市板橋區館前西路１５８之１號１樓","歇業／撤銷"
"10237861","阿咕寵物店","高雄市苓雅區民權一路１９號１樓","核准設立"
"10491878","秉聖名星愛犬館","臺南市南區府南里大成路2段151號1樓","核准設立"
"10496682","頂尖寵物生活館","臺南市北區和順里海安路3段133號1樓","核准設立"
"10514400","沃芙生活館","新北市中和區中山路3段118之7號","廢止"
"10546971","派比寵物精品生活館","新北市新店區光明街３８號（１、２樓）","廢止"
"10716813","明駿犬舍","臺南市北區大道里北門路2段580號1樓","歇業／撤銷"
"10733051","金企寵物生活館","臺南市北區大和里文賢路807號1樓","核准設立"
"10790897","米琦寵物百貨店","臺南市永康區南灣里大灣路610號2樓","歇業／撤銷"
"10901612","新樂園水族館","雲林縣斗南鎮田頭里延平北路243號","核准設立"
"10962498","華馨寵物生活館","彰化縣彰化市大同里太平街18號","核准設立"
"10992768","家寶寵物店","臺中市大里區內新里內新街４７之２號","核准設立"
"10997807","寵愛水族寵物大賣場","臺中市北屯區水景里東山路一段156之31號","歇業／撤銷"
"13338168","丹佛企業行","高雄市鳳山區大東一路１２０號","核准設立"
"13427680","貓語動物專賣店","臺中市豐原區南陽里南陽路２８３號（限一樓）","歇業／撤銷"
"13581536","進御鴻實業社","臺南市安南區溪心里海佃路3段302號2樓（僅供辦公室使用）","歇業／撤銷"
"13582248","中華鳥園","臺南市南區府南里大成路2段177巷2號1樓","核准設立"
"13638926","壽山鳥園寵物用品社","高雄市鼓山區興宗里鼓山２路１２４之４號１樓","歇業／撤銷"
"13760947","良友寵物店","桃園市平鎮區湧安里自由街１號１樓","歇業／撤銷"
